date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Sep 06 2018 - 4:00pm,Jordan,Lebanon,0,1,3,59,41,6,3,1,2,0,11,8,18,11
Sep 06 2018 - 6:45pm,Portugal,Croatia,1,1,1,52,48,5,4,0,2,0,21,6,6,9
Sep 06 2018 - 6:45pm,Austria,Sweden,2,0,1,53,47,5,4,0,0,0,12,6,16,12
Sep 06 2018 - 6:45pm,Netherlands,Peru,2,1,0,55,45,7,5,0,2,0,19,10,18,18
Sep 07 2018 - 11:00am,South Korea,Costa Rica,2,0,0,50,50,3,0,0,2,0,7,3,-1,-1
Sep 07 2018 - 4:00pm,Qatar,China,1,0,2,49,51,4,0,0,1,0,14,3,10,15
Sep 07 2018 - 6:45pm,Scotland,Belgium,0,4,0,43,57,6,8,0,0,0,10,16,7,7
Sep 08 2018 - 12:00am,USMNT,Brazil,0,2,0,36,64,0,4,0,0,0,11,14,5,7
Sep 08 2018 - 12:00am,Venezuela,Colombia,1,2,0,32,68,5,8,0,0,0,9,18,13,14
Sep 08 2018 - 12:00am,Ecuador,Jamaica,2,0,0,67,33,6,3,0,2,0,12,6,10,11
Sep 08 2018 - 2:08am,Mexico,Uruguay,1,4,0,62,38,8,8,0,2,0,12,14,13,13
Sep 08 2018 - 3:00am,Argentina,Guatemala,3,0,3,63,37,8,3,0,3,0,15,3,21,12
Sep 09 2018 - 4:00pm,Lebanon,Oman,0,0,0,48,52,3,8,0,0,0,7,15,9,12
Sep 09 2018 - 6:45pm,Germany,Peru,2,1,0,64,36,7,6,0,1,0,13,10,7,6
Sep 10 2018 - 2:00pm,Kyrgyzstan,Syria,2,1,2,42,58,10,10,0,7,2,18,19,10,6
Sep 10 2018 - 3:30pm,Kuwait,Iraq,2,2,1,50,50,5,9,0,2,0,6,18,8,25
Sep 10 2018 - 4:00pm,Russia,Czech Republic,5,1,0,51,49,7,5,0,2,0,15,17,9,10
Sep 10 2018 - 4:00pm,Bahrain,China,0,0,1,50,50,2,5,0,2,0,5,8,15,15
Sep 11 2018 - 10:20am,Japan,Costa Rica,3,0,0,49,51,11,4,0,2,0,24,6,10,15
Sep 11 2018 - 11:00am,South Korea,Chile,0,0,2,50,50,4,3,0,1,0,8,10,17,7
Sep 11 2018 - 11:30am,Singapore,Fiji,2,0,2,42,58,5,2,0,3,1,6,6,11,25
Sep 11 2018 - 12:00pm,Kenya,Malawi,1,0,1,52,48,5,4,0,0,0,18,8,18,8
Sep 11 2018 - 3:00pm,Uzbekistan,Iran,0,1,1,43,57,3,5,0,1,0,6,13,11,20
